Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d070221;a;3;28;21;-64;-78;-63,5923;346,749;46,2247;46,422;134;35,3699;141,42;-38,9266;-52,9266;140,66;1,33207;188,446;9,66;;100;-47,7295;1239,26;-48,2788;40,78;1,62;5,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;b;17;28;11;-70;-84;-62,1647;199,337;55,883;37,003;186;37,262;140,94;-39,3202;-53,3202;140,26;1,13928;222,778;9,17999;;124;-46,8445;1420,17;-47,6074;40,46;0,93;2,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41221;b;2;25;25;-65;-79;-61,881;248,448;9,10912;108,014;435;32,8979;127,12;-46,6224;-60,6224;126,4;1,13002;221,252;;;100;;;;;1,04479;2,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;-61,5121125;259,9225;41,467895;59,38814375;232,4501994;39,3524125;139,68;-38,93214375;-52,93214375;139,12875;1,010771625;292,3965;9,728001333;#DIV/0!;81,8125;624,4075714;-50,02034667;47,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WT morph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
